"","hgnc_symbol","K562_Amit_PR"
"218","NUDCD3",0.765103793571122
"221","ATP2C1",2.54786695309252
"222","IGF1",0.703774631711931
"223","SLC38A5",0.599487283311846
"224","RALBP1",0.882833417499577
"225","RUFY3",1.19719753855833
"228","AGPS",1.87700985722197
"229","STEEP1",2.65071537546593
"230","TTC27",2.56937423767035
"233","ZRANB1",0.23150217515638
"234","NCDN",0.297572817479807
"236","SAMD4A",0.158601784943117
"237","SERPINB1",0.863921761440359
"238","SPAST",1.19429105710359
"239","OSBPL5",0.0785645172800447
"240","AQR",0.538019187218378
"243","RNF10",0.65253356304797
"244","ZNF839",0.134582401933307
"246","RNH1",0.984746085766791
"247","RB1CC1",0.611017715644309
"248","ALAS1",0.452432733859813
"250","AKAP11",0.289895537930591
"251","GLRX2",1.91604750613171
"252","SNAPC1",0.515060281025273
"254","STRAP",2.59124749062923
"256","DEF6",0.517044263190107
"257","PLEKHO1",0.169350754238318
"258","GCLM",0.46982705089015
"259","UBR2",0.880573364718778
"260","DEPDC1",0.558017706510939
"261","CCDC28A",1.54592756610907
"262","HSF2",0.775622290421293
"264","TOMM34",0.17592527891829
"265","SEC63",0.174443466755655
"266","KPNA6",0.385962306573239
"267","VIM",2.25982593613084
"269","CD44",0.138964590272717
"271","AGPAT4",0.434508808455897
"272","BTN3A1",0.244359280402574
"273","IFNGR1",0.593716660878994
"274","B4GALT7",0.46055849641415
"275","SH2D2A",0.0732054419636232
"276","VRK2",1.7632988572332
"277","TNFRSF1B",0.504811968976523
"278","VEZT",0.851228924974991
"282","BCLAF1",0.382182367639948
"283","SLC39A9",1.21291858079965
"284","RABEP1",3.40079569479723
"285","HMGB3",3.44220218787866
"286","BAK1",0.282532675257195
"288","FAM13B",0.232523674890753
"289","CENPQ",0.685394545372562
"290","SARS1",3.33301703214851
"291","RANBP3",0.299776838864962
"292","ARID4A",0.200089528541968
"293","EIPR1",1.30531830560765
"294","ZCCHC8",0.161250099459792
"295","CHPF2",0.18599265676861
"297","UBA6",0.889479528583034
"298","GAB2",0.220253393408896
"299","ATP6V0A1",0.759552668240592
