,CellTypes
chip6_1851027105_site_46,TU/TU
chip5_1851027101_site_44,TU/TU
chip5_1851027101_site_05,NK/NK
chip6_1851027105_site_07,NK/NK
chip8_1851022116_site_06,NK/NK
chip5_1851027101_site_27,TU-NK/TU-NK
chip5_1851027101_site_45,TU/TU
chip8_1851022116_site_41,TU/TU
chip6_1851027105_site_47,TU/TU
chip5_1851027101_site_09,NK/NK
chip6_1851027105_site_20,TU-NK/TU-NK
chip8_1851022116_site_33,TU-NK/TU-NK
chip5_1851027101_site_08,NK/NK
chip5_1851027101_site_20,TU-NK/TU-NK
chip5_1851027101_site_10,NK/NK
chip6_1851027105_site_04,NK/NK
chip6_1851027105_site_43,TU/TU
chip6_1851027105_site_09,NK/NK
chip5_1851027101_site_04,NK/NK
chip5_1851027101_site_41,TU/TU
chip5_1851027101_site_02,NK/NK
chip5_1851027101_site_33,TU-NK/TU-NK
chip6_1851027105_site_26,TU-NK/TU-NK
chip6_1851027105_site_30,TU-NK/TU-NK
chip5_1851027101_site_14,TU-NK/TU-NK
chip6_1851027105_site_33,TU-NK/TU-NK
chip5_1851027101_site_28,TU-NK/TU-NK
chip6_1851027105_site_42,TU/TU
chip6_1851027105_site_25,TU-NK/TU-NK
chip5_1851027101_site_30,TU-NK/TU-NK
chip8_1851022116_site_26,TU-NK/TU-NK
chip6_1851027105_site_35,TU-NK/TU-NK
chip8_1851022116_site_24,TU-NK/TU-NK
chip6_1851027105_site_45,TU/TU
chip6_1851027105_site_37,TU/TU
chip8_1851022116_site_01,NK/NK
chip6_1851027105_site_06,NK/NK
chip8_1851022116_site_40,TU/TU
chip5_1851027101_site_32,TU-NK/TU-NK
chip5_1851027101_site_24,TU-NK/TU-NK
chip8_1851022116_site_03,NK/NK
chip5_1851027101_site_42,TU/TU
chip8_1851022116_site_32,TU-NK/TU-NK
chip5_1851027101_site_12,NK/NK
chip5_1851027101_site_40,TU/TU
chip6_1851027105_site_28,TU-NK/TU-NK
chip6_1851027105_site_32,TU-NK/TU-NK
chip6_1851027105_site_15,TU-NK/TU-NK
chip6_1851027105_site_44,TU/TU
chip8_1851022116_site_18,TU-NK/TU-NK
chip5_1851027101_site_19,TU-NK/TU-NK
chip8_1851022116_site_48,TU/TU
